    EDF      Z      N                 N-N                 P-P                 N-P
    SKP     46     52       2.10532964199       2.02497195414      -2.49368785262    
    SKP     46     54       4.04782095678       2.01207344672      -2.51223616025    
    SKP     46     56       2.86773298538       1.54468781859      -2.14634418561    
    SKP     46     58       3.56538651464       1.37941356301      -2.05783440709    
    SKP     46     60       4.14137837496       1.36076129151      -2.36443231753    
    SKP     46     62       4.68516839667       1.34393112622      -2.39548068614    
    SKP     46     64       5.22633970686       1.31962027926      -2.42655574071    
    SKP     46     66       5.43226575731       1.31699903332      -2.53301147201    
    SKP     46     68       7.26484161737       1.50897500609      -2.99942261115    
    SKP     46     70       9.46093932936       1.89262656349      -3.10274988966    
    SKP     46     72       6.08964258365       1.87694469066       -2.5727294537    
    SKP     46     74       6.54924953787       1.97573305871      -2.71871741787    
    SKP     46     76       8.33520875531       1.99393842718      -2.61615396589    
    SKP     46     78       6.13407555647        1.8329722378      -2.51465888966    
    SKP     46     80       2.55430451397       1.88571439347      -2.75146687578    
    SKP     46     82       1.59991680433       1.89718400977      -2.75737891832    
    SKP     46     84       3.14423633967       1.87410423674      -3.65609658676    
    SKP     46     86       8.52215226956       1.89483208235      -3.85460803936    
    SKP     46     88       6.81970075153       1.95549297978      -4.02503167197    
    SKP     46     90       5.87346500663       1.95765973525      -4.23986169571    
    SKP     46     92       5.21730737375        2.0272112567      -4.95742808631    
    SKP     46     94       7.13446141059       2.14341596202        -4.983808851    
    SKP     46     96       25.1137968922       2.17439637398      -4.30822321335    
    SKP     46     98       12.6969616171       1.86513924197      -3.10097471388    
    SKP     46    100       15.5499230279                 N/A                 N/A    
    SKP     46    102       16.3077600476                 N/A                 N/A    
    SKP     46    104       16.4547432854                 N/A                 N/A    
    SKP     48     48       1.96217514964       1.47477181593      -2.12331581244    
    SKP     48     50      0.909737649857       1.44816982108      -2.06310735946    
    SKP     48     52        2.1309591607       1.45365528891      -2.56954967999    
    SKP     48     54       3.06368559846       1.46223735475      -2.53237643269    
    SKP     48     56       3.90848287352       1.65397379609      -3.16928832838    
    SKP     48     58       3.62504032857       1.46402327504      -2.44868774824    
    SKP     48     60       4.06151984103       1.34233097788      -2.42132216297    
    SKP     48     62       4.47847087091       1.33387755538       -2.4494809856    
    SKP     48     64       5.09013353965       1.42514700391      -2.51004803604    
    SKP     48     66       6.78582576714       1.61783435884      -2.54272573842    
    SKP     48     68       9.00760917786       1.65844355073      -2.32559221206    
    SKP     48     70       5.61639988767       1.47410006191      -2.18995685785    
    SKP     48     72       6.49219962216       1.50108397026      -2.60228441537    
    SKP     48     74        6.2387896748       1.46682034054      -2.53511129139    
    SKP     48     76       6.52705300293       1.43176938777      -2.58490274627    
    SKP     48     78       7.24908208498       1.48064902769      -2.82784436959    
    SKP     48     80       2.47323801886       1.48717626496      -2.64060216292    
    SKP     48     82       1.38144968639       1.48116166028      -2.73321685274    
    SKP     48     84       3.12695434647       1.50556381106      -3.74497471206    
    SKP     48     86       8.48957692194       1.52823646097       -3.7697902206    
    SKP     48     88        5.7133797355       1.52771640389      -3.77619974586    
    SKP     48     90       5.33512593565       1.56545234528      -4.22971139622    
    SKP     48     92       5.44901223031       1.60012993055      -4.56114904467    
    SKP     48     94        7.7641861386       1.60685096979       -4.3976679167    
    SKP     48     96       30.9059300753       1.58739481525      -4.18827993625    
    SKP     48     98       11.6725613101       1.45678890947      -4.06134251738    
    SKP     48    100       15.2076798784       1.42466276452      -4.17864545029    
    SKP     48    102       14.6579207739       1.44814884943      -4.20406974972    
